loc,FMP_SUBAREA
-170_57,BS
-171.333333333333_52,AI
-171.333333333333_52.6666666666667,AI
-171.333333333333_56,BS
-171.333333333333_56.3333333333333,BS
-171.333333333333_57.6666666666667,BS
-171.666666666667_52,AI
-171.666666666667_52.3333333333333,AI
-171.666666666667_56,BS
-171.666666666667_56.3333333333333,BS
-171_52,AI
-171_52.3333333333333,AI
-171_56,BS
-171_56.3333333333333,BS
-171_57,BS
-171_57.6666666666667,BS
-172.333333333333_51.6666666666667,AI
-172.333333333333_52,AI
-172.333333333333_52.3333333333333,AI
-172.333333333333_52.6666666666667,AI
-172.333333333333_56.3333333333333,BS
-172.333333333333_56.6666666666667,BS
-172.333333333333_57,BS
-172.333333333333_57.6666666666667,BS
-172.333333333333_60,BS
-172.666666666667_51.6666666666667,AI
-172.666666666667_52,AI
-172.666666666667_52.3333333333333,AI
-172.666666666667_52.6666666666667,AI
-172.666666666667_53,AI
-172.666666666667_56,BS
-172.666666666667_56.3333333333333,BS
-172.666666666667_56.6666666666667,BS
-172.666666666667_57,BS
-172.666666666667_57.3333333333333,BS
-172.666666666667_57.6666666666667,BS
-172.666666666667_58,BS
-172.666666666667_60,BS
-172_51.6666666666667,AI
-172_52,AI
-172_52.3333333333333,AI
-172_52.6666666666667,AI
-172_56,BS
-172_56.3333333333333,BS
-172_57,BS
-172_58,BS
-173.333333333333_51,AI
-173.333333333333_51.6666666666667,AI
-173.333333333333_52,AI
-173.333333333333_52.3333333333333,AI
-173.333333333333_52.6666666666667,AI
-173.333333333333_56.3333333333333,BS
-173.333333333333_56.6666666666667,BS
-173.333333333333_57,BS
-173.333333333333_57.3333333333333,BS
-173.333333333333_57.6666666666667,BS
-173.333333333333_58.3333333333333,BS
-173.333333333333_60.3333333333333,BS
-173.333333333333_60.6666666666667,BS
-173.666666666667_51.6666666666667,AI
-173.666666666667_52,AI
-173.666666666667_52.3333333333333,AI
-173.666666666667_52.6666666666667,AI
-173.666666666667_53.3333333333333,AI
-173.666666666667_56,BS
-173.666666666667_56.6666666666667,BS
-173.666666666667_57,BS
-173.666666666667_57.6666666666667,BS
-173_51.6666666666667,AI
-173_52,AI
-173_52.3333333333333,AI
-173_56.3333333333333,BS
-173_56.6666666666667,BS
-173_57,BS
-173_57.3333333333333,BS
-173_57.6666666666667,BS
-173_58,BS
-173_58.3333333333333,BS
-173_60,BS
-173_60.3333333333333,BS
-174.333333333333_51.6666666666667,AI
-174.333333333333_52,AI
-174.333333333333_52.3333333333333,AI
-174.333333333333_57.3333333333333,BS
